job_id	company	title	url	score	grade	date_seen	applied
afe7a5bcb000	ValueMomentum	Senior Data Analyst	https://in.linkedin.com/jobs/view/senior-data-analyst-at-valuemomentum-4399169195	4.1	A	2026-04-17	no
c98a988ff9c4	FedEx	Data Analyst-Senior II	https://in.linkedin.com/jobs/view/data-analyst-senior-ii-at-fedex-4401742499	4.4	A	2026-04-17	no
4bb12bae5d4b	EY	DQAA Senior Data Analyst	https://in.linkedin.com/jobs/view/dqaa-senior-data-analyst-at-ey-4399764381	4.1	A	2026-04-17	no
9bb9648caafe	EY	DQAA Senior Data Analyst	https://in.linkedin.com/jobs/view/dqaa-senior-data-analyst-at-ey-4399766081	4.1	A	2026-04-17	no
f96dba032766	EY	DQAA Senior Data Analyst	https://in.linkedin.com/jobs/view/dqaa-senior-data-analyst-at-ey-4399762992	4.1	A	2026-04-17	no
9e324a4bdb0f	EY	DQAA Senior Data Analyst	https://in.linkedin.com/jobs/view/dqaa-senior-data-analyst-at-ey-4399770037	4.1	A	2026-04-17	no
2d1a24da4f38	Kamakhya Analytics Private Limited	Senior Data Analyst	https://in.linkedin.com/jobs/view/senior-data-analyst-at-kamakhya-analytics-private-limited-4401883284	4.4	A	2026-04-17	no
59b6827c952a	FedEx	Data Analyst-Senior II	https://in.linkedin.com/jobs/view/data-analyst-senior-ii-at-fedex-4362466281	4.4	A	2026-04-17	no
2b362579c33c	Golden Opportunities	Business Data Analyst – Business process Lead/ Assistant Manager/Manager - Pune/Hyderabad - GO/JC/2485/2026	https://in.linkedin.com/jobs/view/business-data-analyst-%E2%80%93-business-process-lead-assistant-manager-manager-pune-hyderabad-go-jc-2485-2026-at-golden-opportunities-4383132185	4.7	A+	2026-04-17	no
d37fc39a00ea	EY	Data Engineering And Analytics - Business Analyst	https://in.linkedin.com/jobs/view/data-engineering-and-analytics-business-analyst-at-ey-4399944488	4.1	A	2026-04-17	no
